code,name,cname,category,price,diff,chg,preclose,open,high,low,amplitude,volume,mktcap,pe,market,category_id
IP,International Paper Co.,国际纸业公司,,45.52,-0.53,-1.15,46.05,46.48,46.55,45.42,2.45%,3234092,17841277727,13.11815564,NYSE,736.0
ATUS,"Altice USA, Inc.","Altice USA, Inc.",,28.1,0.76,2.78,27.34,27.59,28.1,27.28,3.00%,3979519,17818419812,55.09804099,NYSE,
AJG,Arthur J. Gallagher & Co.,亚瑟加拉格尔有限公司,保险,95.51,0.28,0.29,95.23,95.61,95.86,94.62,1.30%,722447,17792430192,25.67473156,NYSE,25.0
SE,Sea Ltd. (Singapore),新加坡海洋互联网公司,管道,40.04,-0.18,-0.45,40.22,41.0,41.19,39.46,4.30%,5689333,17738650067,-10.13670897,NYSE,112.0
IXUS,ishares Core MSCI Total International Stock ETF,ishares Core MSCI Total International Stock ETF,股权,62.6,0.7,1.13,61.9,62.39,62.65,62.38,0.44%,926011,17730715157,,NASDAQ,145.0
CFG,"Citizens Financial Group, Inc. (Rhode Island)","Citizens Financial Group, Inc. (Rhode Island)",,40.75,0.14,0.34,40.61,40.72,40.78,40.19,1.45%,2834491,17630028732,10.72368435,NYSE,
SHY,iShares 1-3 Year Treasury Bond ETF,债券指数ETF-iShares Barclays 1-3年国,股权,84.67,0.04,0.05,84.63,84.67,84.71,84.64,0.08%,2662869,17579781783,1411.16666769,NYSE,145.0
CMS,CMS Energy Corp.,CMS能源,电力,61.71,-1.13,-1.8,62.84,62.86,62.88,61.57,2.08%,2371996,17542853599,28.17808104,NYSE,21.0
ACGL,Arch Capital Group Ltd.,拱首都创业集团有限公司,保险,43.4,0.51,1.19,42.89,43.01,43.4,42.88,1.21%,1376771,17462694206,12.40000044,NASDAQ,25.0
CHKP,Check Point Software Technologies Ltd.,Check Point软件科技,软件,112.26,1.3,1.17,110.96,111.35,112.69,111.31,1.24%,982737,17404114356,21.6718158,NASDAQ,14.0
CXO,"Concho Resources, Inc.",康休,,86.95,-0.62,-0.71,87.57,88.1,88.63,85.94,3.07%,1306677,17401068451,13.67138288,NYSE,710.0
ABC,AmerisourceBergen Corp.,美源伯根集团,制药,85.08,0.06,0.07,85.02,85.64,85.8,84.33,1.72%,817562,17396290491,20.90417647,NYSE,10.0
IVE,iShares S&P 500 Value ETF,标普500价值指数ETF-iShares,股权,130.59,0.5,0.38,130.09,130.68,130.78,129.94,0.65%,2134047,17325880677,10.07638858,NYSE,145.0
OMC,"Omnicom Group, Inc.",宏盟集团,媒体内容,79.87,-1.15,-1.42,81.02,81.15,81.17,78.96,2.72%,1908257,17283565562,13.37856039,NYSE,702.0
AMCR,Amcor Plc,Amcor Plc,,10.63,-0.21,-1.94,10.84,10.88,10.91,10.62,2.72%,10029735,17262592493,265.7500088,NYSE,
CINF,Cincinnati Financial Corp.,辛辛那提金融公司,保险,105.96,0.81,0.77,105.15,105.62,106.03,104.8,1.17%,801149,17253928662,18.85409275,NASDAQ,25.0
MGM,MGM Resorts International,美高梅,住宿,33.66,0.39,1.17,33.27,33.52,33.7,33.29,1.23%,3466734,17218490881,3366.00005998,NYSE,176.0
CHD,"Church & Dwight Co., Inc.",丘奇＆德怀特,,70.03,-0.31,-0.44,70.34,70.38,70.71,69.66,1.49%,1424290,17194091239,28.12449739,NYSE,761.0
LEN,Lennar Corp.,莱纳建筑公司,,55.81,0.02,0.04,55.79,56.07,56.17,55.31,1.55%,3025298,17177381216,9.19439865,NYSE,743.0
EFX,"Equifax, Inc.",艾可菲公司,,142.39,2.27,1.62,140.12,140.67,142.58,139.49,2.21%,785719,17118108277,-44.9179798,NYSE,750.0
DB,Deutsche Bank AG,德意志银行,银行,8.33,0.55,7.07,7.78,8.11,8.33,8.04,3.66%,11434853,17012713563,-3.63755461,NYSE,61.0
BPY,Brookfield Property Partners LP,Brookfield Property Partners LP,,18.06,-0.22,-1.2,18.28,18.39,18.41,17.98,2.35%,1371567,17000086267,12.12080493,NYSE,793.0
IAU,iShares Gold Trust,黄金ETF-iShares,股权,14.61,0.11,0.76,14.5,14.6,14.64,14.55,0.58%,37082959,16953914223,5.35164819,NYSE,145.0
DOV,Dover Corp.,美国都福集团,多元化制造商,116.87,1.61,1.4,115.26,116.15,116.87,115.61,1.09%,866745,16861024808,26.08705407,NYSE,58.0
MXIM,"Maxim Integrated Products, Inc.",美信集成产品公司,半导体,62.43,0.92,1.5,61.51,62.07,62.43,61.41,1.66%,2262641,16845409503,22.1382985,NASDAQ,12.0
NUE,Nucor Corp.,纽柯钢铁,钢铁,55.12,-1.16,-2.06,56.28,56.83,56.86,55.06,3.20%,2466833,16728675531,9.40614295,NYSE,46.0
PEAK,"Healthpeak Properties, Inc.","Healthpeak Properties, Inc.",,33.68,-0.79,-2.29,34.47,34.6,34.64,33.46,3.43%,5490160,16645303851,19.13636391,NYSE,
EXPE,"Expedia Group, Inc.","Expedia Group, Inc.",互联网,110.98,2.84,2.63,108.14,108.87,111.15,108.78,2.19%,3481322,16638969250,32.45029266,NASDAQ,41.0
IQ,"iQIYI, Inc.",爱奇艺公司,,22.97,1.86,8.81,21.11,21.54,22.97,21.5,6.96%,11228366,16581268275,-10.20888858,NASDAQ,
RSP,Invesco S&P 500 Equal Weight ETF,平均加权指数ETF-Rydex S&P,股权,116.05,0.33,0.29,115.72,116.27,116.37,115.37,0.86%,699576,16572483259,6.73143878,NYSE,145.0
RF,Regions Financial Corp.,地区金融公司,银行,17.09,-0.07,-0.41,17.16,17.26,17.3,17.01,1.69%,8972187,16466386924,11.31788097,NYSE,61.0
HEI,HEICO Corp.,海科航空,航空航天/国防,119.79,5.64,4.94,114.15,114.95,119.8,114.72,4.45%,876101,16431060012,48.89387697,NYSE,60.0
TRU,TransUnion,TransUnion,,87.81,2.2,2.57,85.61,85.79,87.82,85.65,2.53%,992529,16419759425,44.80101829,NYSE,
LH,Laboratory Corp. of America Holdings,实验美控,卫生保健设施,167.48,-1.69,-1.0,169.17,169.96,170.2,165.32,2.88%,808463,16400371640,21.86422964,NYSE,692.0
CAG,"Conagra Brands, Inc.",康尼格拉,食品,33.63,-0.61,-1.78,34.24,34.25,34.41,33.38,3.02%,4287288,16285877054,20.38181912,NYSE,18.0
DISCK,"Discovery, Inc.",探索传播C类股,媒体内容,30.18,-0.3,-1.0,30.49,30.61,30.64,29.95,2.26%,2525475,16157334656,9.67467967,NASDAQ,702.0
DISCA,"Discovery, Inc.",探索传播公司,媒体,32.22,-0.52,-1.59,32.74,32.82,32.84,32.01,2.55%,3199702,16097035948,10.32692385,NASDAQ,79.0
NLOK,"NortonLifeLock, Inc.","NortonLifeLock, Inc.",,26.02,0.5,1.96,25.52,25.61,26.03,25.52,2.00%,5206282,16037930534,17.82191766,NASDAQ,
TIF,Tiffany & Co.,蒂芙尼,,133.85,0.2,0.15,133.65,133.74,133.87,133.55,0.24%,1721799,16027982740,29.8106933,NYSE,712.0
INVH,"Invitation Homes, Inc.","Invitation Homes, Inc.",,29.47,-0.5,-1.67,29.97,30.11,30.15,29.37,2.60%,2509973,15897681989,589.39997748,NYSE,
STX,Seagate Technology Plc,希捷科技公司,计算机硬件,60.5,1.0,1.68,59.5,59.81,60.64,59.77,1.46%,2018230,15812574910,9.49764538,NASDAQ,681.0
LNG,"Cheniere Energy, Inc.","Cheniere Energy, Inc.",,62.32,1.25,2.05,61.07,61.12,62.35,61.08,2.08%,1712056,15755076586,-70.81818186,NYSE,710.0
L,Loews Corp.,洛斯公司,保险,52.96,0.47,0.9,52.49,52.72,53.0,52.46,1.03%,1075887,15710728470,29.42222249,NYSE,25.0
ANET,"Arista Networks, Inc.","Arista Networks, Inc.",计算机硬件,204.72,1.32,0.65,203.4,205.68,207.24,203.1,2.03%,624689,15636200413,20.26930629,NYSE,681.0
SSNC,"SS&C Technologies Holdings, Inc.","SS&C Technologies Holdings, Inc.",软件,61.64,0.24,0.39,61.4,61.92,62.37,61.21,1.89%,1324322,15544253678,43.71631266,NASDAQ,14.0
HBAN,"Huntington Bancshares, Inc.",亨廷顿银行,银行,14.99,-0.09,-0.6,15.08,15.12,15.16,14.85,2.06%,9975074,15450089954,11.53076948,NASDAQ,61.0
PFG,"Principal Financial Group, Inc.",信安金融集团,保险,55.73,0.73,1.33,55.0,55.43,55.89,55.1,1.44%,1164526,15413571754,11.73263148,NYSE,25.0
QUAL,iShares MSCI Usa Quality Factor ETF,iShares MSCI Usa Quality Factor ETF,,101.88,0.88,0.87,101.0,101.62,101.88,101.23,0.64%,1885263,15342846147,,AMEX,
GOVT,iShares Core U.S. Treasury Bond ETF,iShares Core U.S. Treasury Bond ETF,股权,25.99,0.05,0.19,25.94,26.42,26.42,25.97,1.73%,4773131,15334516845,,NASDAQ,145.0
KSU,Kansas City Southern,堪萨斯南方铁路,运输,155.45,2.29,1.5,153.16,153.94,155.48,153.22,1.47%,709265,15318934946,27.22416741,NYSE,34.0
LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",,71.89,0.42,0.59,71.47,72.0,72.46,71.13,1.86%,1284811,15295654484,1797.25002491,NYSE,879.0
GPC,Genuine Parts Co.,纯正部件公司,"销售/批发
",105.81,-0.42,-0.4,106.23,106.6,106.84,104.81,1.91%,751968,15289182983,19.34369317,NYSE,256.0
WYNN,Wynn Resorts Ltd.,永利度假村,住宿,143.6,4.73,3.41,138.87,142.06,144.39,141.75,1.90%,2983699,15239041355,22.93929726,NASDAQ,176.0
LSXMK,Liberty Media Corp. Liberty SiriusXM,Liberty Media Corp. Liberty SiriusXM,,48.12,-0.02,-0.04,48.14,48.14,48.47,47.62,1.77%,788231,15187730329,31.24675333,NASDAQ,
CNHI,CNH Industrial NV,CNH Industrial NV,,11.29,0.29,2.64,11.0,11.17,11.31,11.14,1.55%,1899615,15168680562,9.73275887,NYSE,
ODFL,"Old Dominion Freight Line, Inc.","Old Dominion Freight Line, Inc.",,192.03,2.25,1.19,189.78,190.26,192.04,188.69,1.77%,638974,15137036882,24.55626529,NASDAQ,790.0
FANG,"Diamondback Energy, Inc.","Diamondback Energy, Inc.",,92.65,-0.21,-0.23,92.86,93.35,93.66,91.48,2.34%,1822201,15112458769,13.33093584,NASDAQ,710.0
BMRN,"BioMarin Pharmaceutical, Inc.",拜玛林制药,制药,84.04,-0.51,-0.6,84.55,85.0,85.16,83.41,2.07%,1076984,15072333820,-350.16667831,NASDAQ,10.0
RNG,"RingCentral, Inc.","RingCentral, Inc.",,173.19,4.52,2.68,168.67,170.0,173.59,169.95,2.16%,2557441,14894801541,-422.41464379,NYSE,697.0
CE,Celanese Corp.,塞拉尼斯,化学制品,121.43,-1.69,-1.37,123.12,123.9,124.59,121.31,2.66%,907915,14676520980,16.84188622,NYSE,88.0
CPB,Campbell Soup Co.,康宝浓汤公司,,48.49,-0.93,-1.88,49.42,49.45,49.56,48.35,2.44%,1696333,14637809529,55.10227493,NYSE,761.0
KMX,"CarMax, Inc.",车美仕,零售,89.51,1.84,2.1,87.67,87.97,89.51,87.81,1.94%,1998685,14572842062,17.18042255,NYSE,52.0
CAH,"Cardinal Health, Inc.",卡地纳健康,卫生保健设施,50.09,-0.49,-0.97,50.58,50.92,51.01,49.48,3.03%,2730572,14568827981,-3.56512452,NYSE,692.0
ULTA,"Ulta Beauty, Inc.",Ulta美容产品公司,,254.55,1.41,0.56,253.14,254.32,254.83,250.65,1.65%,1160371,14529830478,21.31909648,NASDAQ,712.0
AEM,Agnico Eagle Mines Ltd.,伊格尔矿业,,60.81,-0.8,-1.3,61.61,62.08,62.2,60.49,2.78%,897724,14506773299,-56.30555459,NYSE,717.0
EWJ,iShares MSCI Japan ETF,日本ETF-iShares MSCI,股权,59.86,0.62,1.05,59.24,59.8,59.96,59.7,0.44%,12528848,14499790879,41.56944322,NYSE,145.0
CTXS,"Citrix Systems, Inc.",美国思杰公司,软件,111.67,0.77,0.69,110.9,111.59,111.99,111.06,0.84%,1352558,14498694546,22.93018497,NASDAQ,14.0
EVRG,"Evergy, Inc.","Evergy, Inc.",,63.44,-1.65,-2.53,65.09,65.15,65.27,63.31,3.01%,1976044,14467281764,24.40000037,NYSE,
XYL,"Xylem, Inc.",赛莱默公司,机械-多元,79.85,1.06,1.35,78.79,79.16,79.95,78.76,1.51%,842234,14327085596,28.31560297,NYSE,134.0
HAS,"Hasbro, Inc.",孩之宝公司,,105.33,-0.28,-0.27,105.61,106.17,106.18,104.3,1.78%,980144,14307257728,50.8840605,NASDAQ,848.0
NTAP,"NetApp, Inc.",美国网存公司,计算机,62.77,1.0,1.62,61.77,61.97,62.82,61.8,1.65%,1596424,14251572126,15.38480432,NASDAQ,5.0
DGX,"Quest Diagnostics, Inc.",奎斯特诊断,健康护理服务,105.73,-1.06,-0.99,106.79,106.76,106.81,104.97,1.73%,976998,14194368647,19.54343925,NYSE,95.0
YNDX,Yandex NV,Yandex,互联网,44.08,0.59,1.36,43.49,43.83,44.21,43.59,1.43%,973940,14189771393,52.47619429,NASDAQ,41.0
AKAM,"Akamai Technologies, Inc.",阿克迈技术,软件,87.64,1.26,1.46,86.38,86.84,87.83,86.53,1.50%,1079554,14123926423,31.41218659,NASDAQ,14.0
EXAS,EXACT Sciences Corp.,精密科学,生物技术,95.58,3.1,3.35,92.48,93.47,96.44,92.75,3.99%,1520356,14098936635,-55.89473667,NASDAQ,39.0
CTL,"CenturyLink, Inc.",世纪电信公司,电信,12.92,-0.29,-2.2,13.21,13.34,13.37,12.74,4.77%,12652859,13993102207,-1.74594593,NYSE,30.0
CVNA,Carvana Co.,Carvana Co.,,96.95,4.9,5.32,92.05,93.21,96.98,92.51,4.86%,1221323,13978889517,-34.74910332,NYSE,
MMP,Magellan Midstream Partners LP,麦哲伦油气,,62.83,-0.04,-0.06,62.87,63.0,63.14,62.59,0.87%,718776,13976727806,13.6884531,NYSE,710.0
IT,"Gartner, Inc.",加特纳,,156.04,1.94,1.26,154.1,154.48,156.04,154.48,1.01%,761334,13909942278,56.33212793,NYSE,750.0
HOLX,"Hologic, Inc.",上巨实业医疗,医疗保健产品,52.07,-0.14,-0.27,52.21,52.1,52.33,51.39,1.80%,1556864,13903316856,-347.1333175,NASDAQ,63.0
LDOS,"Leidos Holdings, Inc.","Leidos Holdings, Inc.",,98.62,0.73,0.75,97.89,98.44,98.64,97.82,0.84%,793566,13861238994,21.25431155,NYSE,750.0
TTWO,"Take-Two Interactive Software, Inc.","Take-Two Interactive Software, Inc.",软件,122.08,-0.35,-0.29,122.43,123.53,123.98,121.4,2.11%,1114231,13816999107,39.00319405,NASDAQ,14.0
LBTYK,Liberty Global Plc,自由全球,媒体,21.6,-0.2,-0.89,21.8,21.88,21.98,21.5,2.20%,1644587,13807191442,24.82758651,NASDAQ,79.0
LBTYA,Liberty Global Plc,自由全球,媒体,22.48,-0.26,-1.14,22.74,22.74,22.97,22.4,2.51%,913128,13786167959,25.83907979,NASDAQ,79.0
DRI,"Darden Restaurants, Inc.",达登饭店,零售,112.26,3.25,2.98,109.01,109.8,112.26,109.39,2.63%,2745683,13713033960,22.05500958,NYSE,52.0
NLY,"Annaly Capital Management, Inc.","Annaly Capital Management, Inc.",房地产信托投资基金,9.48,0.06,0.64,9.42,9.43,9.48,9.37,1.17%,10589502,13712444766,-2.28433719,NYSE,227.0
MAS,Masco Corp.,马斯科,,48.27,0.28,0.58,47.99,48.2,48.41,47.64,1.60%,2143452,13672858272,19.00393747,NYSE,743.0
DOCU,"DocuSign, Inc.","DocuSign, Inc.",,75.9,1.79,2.42,74.11,74.31,76.83,74.11,3.67%,2042562,13620635685,-57.93893499,NASDAQ,
PAA,Plains All American Pipeline LP,Plains All American Pipeline LP,管道,18.68,0.29,1.58,18.39,18.5,18.7,18.48,1.17%,2877410,13585020562,4.89005252,NYSE,112.0
IFF,"International Flavors & Fragrances, Inc.",国际香料香精公司,化学制品,127.55,-1.47,-1.14,129.02,129.4,129.47,126.83,2.05%,881211,13570796899,37.2953217,NYSE,88.0
ARNC,"Arconic, Inc.","Arconic, Inc.",,31.54,0.77,2.5,30.77,30.91,31.54,30.82,2.34%,2868249,13559712301,39.92405071,NYSE,
WPC,"W.P. Carey, Inc.","W.P. Carey, Inc.",,79.01,-1.03,-1.29,80.04,80.23,80.23,78.28,2.44%,725835,13554503473,33.47881595,NYSE,793.0
EXR,"Extra Space Storage, Inc.","Extra Space Storage, Inc.",,104.73,-0.89,-0.84,105.62,105.88,105.93,104.23,1.61%,948470,13535195409,32.72812556,NYSE,729.0
CNP,"CenterPoint Energy, Inc.",中点能源,,26.95,-0.32,-1.17,27.27,27.33,27.34,26.69,2.38%,3385818,13515332063,21.22047336,NYSE,694.0
UDR,"UDR, Inc.",UDR不动产信托,,46.12,-0.58,-1.24,46.7,46.72,46.86,45.76,2.36%,1538085,13471646308,76.86666183,NYSE,729.0
ATO,Atmos Energy Corp.,ATMOS能源公司,"天然气
",110.38,-1.48,-1.32,111.86,112.04,112.04,109.42,2.34%,888555,13460715603,25.20091196,NYSE,334.0
QRVO,"Qorvo, Inc.",科沃,,115.96,-0.27,-0.23,116.23,117.26,117.4,114.76,2.27%,1870613,13443074216,54.95734827,NASDAQ,
MINT,PIMCO Enhanced Short Maturity ETF,PIMCO 增强型短期到期主动型 ETF,环球,101.6,0.01,0.01,101.59,101.59,101.61,101.59,0.02%,1547496,13388679854,,NYSE,173.0
AES,The AES Corp.,爱依斯电力,电力,20.03,0.13,0.65,19.9,19.97,20.1,19.88,1.11%,2987561,13274540192,26.01298855,NYSE,21.0
EXPD,"Expeditors International of Washington, Inc.",康捷国际,运输,78.35,0.33,0.42,78.02,78.62,78.73,77.62,1.42%,981189,13268831662,21.23306159,NASDAQ,34.0
TS,Tenaris SA,泰纳瑞斯钢铁,金属构造/部件,22.62,-0.02,-0.09,22.64,22.75,22.87,22.5,1.61%,1236613,13257846863,16.39130501,NYSE,101.0
IGSB,iShares Short-Term Corporate Bond ETF,iShares Short-Term Corporate Bond ETF,,53.65,0.02,0.04,53.63,53.65,53.7,53.64,0.11%,978831,13216541616,,NASDAQ,
WPM,Wheaton Precious Metals Corp.,Wheaton Precious Metals Corp.,,29.71,-0.04,-0.13,29.75,30.15,30.15,29.46,2.32%,1283506,13188586050,990.33332495,NYSE,
VAR,"Varian Medical Systems, Inc.",瓦里安医疗系统,,144.81,2.8,1.97,142.01,143.5,144.81,142.78,1.43%,660634,13119106286,42.46627387,NYSE,738.0
HST,"Host Hotels & Resorts, Inc.",美国豪斯特酒店,房地产信托投资基金,18.23,-0.32,-1.73,18.55,18.65,18.66,18.13,2.86%,8615576,13088497934,11.76129039,NYSE,227.0
WAB,Westinghouse Air Brake Technologies Corp.,美国西屋制动,,80.95,3.15,4.05,77.8,78.58,80.96,78.2,3.55%,1677393,12979408641,58.65941828,NYSE,753.0
FMC,FMC Corp.,FMC公司,化学制品,99.88,0.06,0.06,99.82,100.37,101.4,99.45,1.95%,987203,12938169260,24.66172656,NYSE,88.0
LNT,Alliant Energy Corp.,美国联合能源,电力,53.63,-1.09,-1.99,54.72,54.68,54.77,53.38,2.53%,1347340,12880463717,24.04932763,NYSE,21.0
STE,STERIS Plc (Ireland),思泰瑞医疗,医疗保健产品,151.7,-0.72,-0.47,152.42,152.58,153.21,150.53,1.76%,624032,12848030556,38.21158586,NYSE,63.0
BEN,"Franklin Resources, Inc.",富兰克林资源有限公司,,25.61,-0.37,-1.42,25.98,25.61,25.8,25.34,1.76%,3626966,12708714321,10.85169566,NYSE,708.0
TWLO,"Twilio, Inc.","Twilio, Inc.",,103.15,4.87,4.96,98.28,100.01,103.15,99.66,3.55%,2875332,12664119659,-47.97674277,NYSE,
URI,"United Rentals, Inc.",联合租赁,,168.65,1.88,1.13,166.77,168.41,168.67,164.41,2.55%,826335,12621683373,11.55136914,NYSE,726.0
WRB,W.R. Berkley Corp.,W.R. Berkley Corp.,保险,68.96,-0.14,-0.2,69.1,69.49,69.49,68.41,1.56%,873543,12620308944,18.89314994,NYSE,25.0
DRE,Duke Realty Corp.,杜克房地产,,34.37,-0.3,-0.87,34.67,34.89,34.89,33.99,2.58%,3043217,12596657893,30.68749892,NYSE,729.0
XRAY,"Dentsply Sirona, Inc.",登茨普利国际,医疗保健产品,56.93,0.34,0.6,56.59,56.83,57.51,56.13,2.44%,1556164,12595304718,77.98629975,NASDAQ,63.0
CLR,"Continental Resources, Inc.",大陆能源,,34.15,-0.15,-0.44,34.3,34.51,34.67,33.87,2.36%,1183758,12589314287,16.33971432,NYSE,710.0
LYFT,"Lyft, Inc.",来福车,,43.58,0.56,1.3,43.02,43.22,44.07,43.17,2.10%,3913733,12578507965,-5.07334122,NASDAQ,
ELS,"Equity LifeStyle Properties, Inc.",宜居生活资产信托,,69.09,-1.3,-1.85,70.39,70.76,70.82,68.73,2.97%,778789,12570871785,45.45394553,NYSE,729.0
AAL,"American Airlines Group, Inc.",美国航空集团公司,,29.09,0.41,1.43,28.68,28.98,29.3,28.65,2.25%,6274737,12563503230,8.19436635,NASDAQ,
RJF,"Raymond James Financial, Inc.",瑞杰金融,,90.78,1.32,1.48,89.46,90.03,90.79,89.27,1.70%,758292,12525300339,12.40163889,NYSE,695.0
VNO,Vornado Realty Trust,沃那多房产信托,,65.5,-1.0,-1.5,66.5,66.72,66.9,65.19,2.57%,1303685,12496858248,4.15873016,NYSE,729.0
JBHT,"J.B. Hunt Transport Services, Inc.",JB Hunt运输服务,,117.52,0.74,0.63,116.78,117.9,117.99,116.44,1.33%,623060,12449375336,27.52224758,NASDAQ,790.0
NCLH,Norwegian Cruise Line Holdings Ltd.,挪威邮轮,休闲,58.83,0.42,0.72,58.41,58.79,59.1,58.15,1.63%,977703,12448469755,13.2202257,NASDAQ,222.0
CVE,"Cenovus Energy, Inc.",Cenovus能源,,10.14,-0.01,-0.1,10.15,10.18,10.29,10.04,2.41%,2897811,12344105561,23.04545545,NYSE,710.0
LW,"Lamb Weston Holdings, Inc.","Lamb Weston Holdings, Inc.",,84.09,-1.94,-2.26,86.03,85.77,86.07,83.95,2.47%,1554789,12287549875,25.87384503,NYSE,
FNF,"Fidelity National Financial, Inc.",富达国民金融,,44.97,-0.38,-0.84,45.35,45.46,45.56,44.62,2.07%,990779,12283652632,16.00355948,NYSE,726.0
HTHT,Huazhu Group Ltd.,华住酒店集团,住宿,41.5,1.43,3.57,40.07,40.62,41.5,40.53,2.42%,604209,12158194323,112.16216072,NASDAQ,176.0
EQH,"AXA Equitable Holdings, Inc.","AXA Equitable Holdings, Inc.",,24.9,0.12,0.48,24.78,24.93,24.98,24.58,1.61%,3148481,12153512250,12.26600984,NYSE,
VMBS,Vanguard Mortgage-Backed Securities Index Fund,领航 住房抵押贷款支持证券指数 ETF,股权,53.22,0.05,0.09,53.17,53.22,53.25,53.2,0.09%,817081,11979111936,,NASDAQ,145.0
J,"Jacobs Engineering Group, Inc.","Jacobs Engineering Group, Inc.",,90.27,0.44,0.49,89.83,89.9,90.44,88.66,1.98%,1185983,11907131168,-134.73133492,NYSE,
LNC,Lincoln National Corp.,林肯国民金融,保险,59.75,0.74,1.25,59.01,59.4,59.85,58.9,1.61%,2347629,11810610601,14.53771242,NYSE,25.0
CHWY,"Chewy, Inc.",Chewy,,29.62,0.62,2.14,29.0,29.32,29.63,28.95,2.34%,2063105,11776637030,-45.56923373,NYSE,
GDDY,"GoDaddy, Inc.","GoDaddy, Inc.",,68.56,0.64,0.94,67.92,68.79,68.98,67.22,2.59%,1630403,11750672144,99.36231565,NYSE,
SJM,The J. M. Smucker Co.,斯马克公司,食品,102.14,-1.99,-1.91,104.13,104.13,104.39,101.77,2.52%,693913,11643976316,20.84489743,NYSE,18.0
TER,"Teradyne, Inc.",泰瑞达公司,半导体,69.68,1.49,2.19,68.19,68.84,69.79,68.54,1.83%,1100833,11643320836,24.88571482,NYSE,12.0
VICI,"VICI Properties, Inc.","VICI Properties, Inc.",,25.28,-0.27,-1.06,25.55,25.62,25.66,25.04,2.45%,2069832,11619681501,17.80281792,NYSE,
ALLY,"Ally Financial, Inc.","Ally Financial, Inc.",,30.72,0.16,0.52,30.56,30.7,30.79,30.42,1.21%,3089399,11616808943,7.54791106,NYSE,
TAP,Molson Coors Brewing Co.,莫尔森库尔斯酒业,饮料,53.54,-0.36,-0.67,53.9,54.25,54.42,53.09,2.47%,1771356,11595634983,75.40845427,NYSE,74.0
WORK,"Slack Technologies, Inc.",Slack,,23.02,0.54,2.4,22.48,22.32,23.16,22.14,4.54%,11666651,11583598112,-16.21126842,NYSE,
NBL,"Noble Energy, Inc.",诺贝尔能源,,24.13,-0.71,-2.86,24.84,24.79,24.99,24.09,3.62%,4777924,11553288301,-10.22457637,NYSE,710.0
MLCO,Melco Resorts & Entertainment Ltd.,Melco Resorts & Entertainment Ltd.,,25.13,0.96,3.97,24.17,25.05,25.22,24.76,1.90%,1980787,11504922984,27.31521598,NASDAQ,
WB,Weibo Corp.,微博公司,媒体内容,51.06,4.71,10.16,46.35,48.3,51.4,47.63,8.13%,2891193,11469260354,20.34263011,NASDAQ,702.0
GL,"Globe Life, Inc.","Globe Life, Inc.",,105.56,0.48,0.46,105.08,105.33,105.86,104.34,1.45%,837106,11358328673,15.73174321,NYSE,
PAGS,PagSeguro Digital Ltd.,PagSeguro Digital Ltd.,,35.23,1.07,3.13,34.16,34.59,35.4,34.33,3.13%,3480152,11266428199,34.203884,NYSE,
WRK,WestRock Co.,WestRock Co.,,43.45,0.54,1.26,42.91,44.28,44.39,42.95,3.36%,4594268,11168283396,12.93154825,NYSE,
BRO,"Brown & Brown, Inc.",布朗保险经纪,保险,39.61,0.13,0.33,39.48,39.62,39.67,39.2,1.19%,1351093,11116287920,28.09219968,NYSE,25.0
ACWI,iShares MSCI ACWI ETF,全球ETF-iShares MSCI,环球,80.07,0.82,1.03,79.25,79.77,80.1,79.65,0.57%,2340182,11091712299,,NASDAQ,173.0
VST,Vistra Energy Corp.,Vistra Energy Corp.,,22.84,-0.15,-0.65,22.99,23.08,23.08,22.62,1.98%,3931939,11054095592,22.39215743,NYSE,
WU,The Western Union Co.,西联公司,,26.19,-0.59,-2.2,26.78,26.91,27.02,26.12,3.38%,8124420,10982410740,9.99618385,NYSE,726.0
ELAN,"Elanco Animal Health, Inc.","Elanco Animal Health, Inc.",,29.47,0.02,0.07,29.45,29.67,29.76,29.3,1.56%,1664740,10977508216,113.34615536,NYSE,
AAP,"Advance Auto Parts, Inc.","Advance Auto Parts, Inc.",,159.41,-0.75,-0.47,160.16,160.47,160.95,157.53,2.14%,909026,10954066799,25.66988771,NYSE,712.0
TSCO,Tractor Supply Co.,拖拉机供应公司,,93.11,-0.33,-0.35,93.44,93.69,94.09,92.47,1.73%,1068851,10948335393,20.2413049,NASDAQ,712.0
PKI,"PerkinElmer, Inc. (United States)",珀金埃尔默,,98.86,1.76,1.81,97.1,98.25,98.86,97.68,1.21%,695275,10933449226,46.63207828,NYSE,738.0
MRO,Marathon Oil Corp.,马拉松油料公司,,13.68,0.1,0.74,13.58,13.69,13.75,13.55,1.47%,10127979,10915032158,12.55045861,NYSE,710.0
LKQ,LKQ Corp.,LKQ Corp.,,35.8,0.1,0.28,35.7,35.92,36.02,35.23,2.21%,1673809,10910047836,25.21126783,NASDAQ,835.0
ROL,"Rollins, Inc.","Rollins, Inc.",,33.34,0.18,0.54,33.16,33.24,33.59,33.09,1.51%,1979657,10844877763,53.77419338,NYSE,723.0
ARMK,Aramark,Aramark,,43.53,0.13,0.3,43.4,43.4,43.84,43.25,1.36%,2115860,10818727582,23.91758106,NYSE,723.0
AVY,Avery Dennison Corp.,艾利丹尼森,"家庭产品/用品
",129.31,-1.51,-1.15,130.82,131.53,132.25,128.88,2.58%,699306,10786904269,46.01779366,NYSE,283.0
